COD	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
ES21	307.50	12.20	1.97	7.30	7.30	73.30	23400.00	1561.39	118.97	2587.00
ES22	64.60	10.90	1.97	8.00	10.80	73.40	20700.00	1694.63	269.62	2880.00
ES23	63.80	16.60	1.97	6.90	7.90	74.80	18600.00	1983.38	182.98	1281.00
ES24	28.10	15.00	1.97	6.90	8.80	74.20	19500.00	1790.98	362.58	6144.00
ES30	853.90	14.80	1.97	12.20	11.80	74.50	21800.00	1572.12	510.21	27777.00
ES41	25.40	17.80	1.97	6.90	10.50	72.10	18100.00	2085.35	186.02	12744.00
ES42	26.20	26.10	1.97	5.90	14.50	67.90	15900.00	1594.76	459.08	9499.00
ES43	25.80	30.00	1.97	4.40	12.40	63.40	14800.00	1048.08	645.27	3874.00
ES51	245.00	14.50	1.97	10.70	14.80	73.90	19600.00	1576.28	373.45	36750.00
ES52	223.10	22.30	1.97	7.40	12.20	69.30	15800.00	1109.97	535.00	23481.00
ES53	241.00	16.90	1.97	11.80	20.50	73.50	18400.00	722.07	638.52	10507.00
ES61	98.50	29.10	1.97	9.40	16.20	61.20	14700.00	915.11	560.84	31750.00
ES62	136.30	26.30	1.97	8.00	12.40	67.30	15500.00	971.38	588.21	5744.00
ES63	4152.70	34.80	1.97	9.50	24.10	55.40	16300.00	342.08	292.29	144.00
ES64	6086.60	34.50	1.97	13.20	23.30	54.60	15300.00	620.30	406.15	179.00
ES70	296.30	29.40	1.97	14.80	20.10	63.40	15000.00	103.29	137.41	8856.00
HR02	44.10	25.90	2.55	4.80	15.10	62.90	12800.00	2260.23	154.81	1141.00
HR03	52.90	18.20	2.55	4.20	17.40	69.50	13200.00	1900.33	290.24	3512.00
ITC1	169.10	13.30	2.14	6.00	6.30	71.30	22100.00	2204.00	278.35	6771.00
ITC2	38.00	5.60	2.14	3.40	3.20	74.90	21500.00	3867.68	5.86	471.00
ITC3	278.90	19.10	2.14	7.60	4.40	70.70	21900.00	1552.67	287.96	1637.00
ITC4	432.10	12.40	2.14	8.10	2.60	73.40	24500.00	2312.76	300.44	19009.00
ITF1	117.90	29.60	2.14	4.70	5.90	62.80	18000.00	1685.94	333.00	3381.00
ITF2	65.60	30.50	2.14	3.80	6.40	58.80	17000.00	1578.28	404.90	689.00
ITF3	412.00	37.10	2.14	9.40	8.50	47.30	14800.00	1192.09	477.13	10673.00
ITF4	202.90	28.80	2.14	3.50	8.80	53.40	15800.00	1284.37	482.87	6741.00
ITF5	53.80	24.50	2.14	6.80	8.90	57.30	15900.00	1445.83	353.14	1121.00
ITF6	121.90	34.50	2.14	8.20	12.00	47.00	14900.00	1131.61	474.73	3852.00
ITG1	187.70	36.80	2.14	8.20	12.60	46.20	15400.00	1079.28	556.06	8726.00
ITG2	66.20	30.80	2.14	4.60	8.90	58.60	17300.00	970.61	572.51	4987.00
ITH1	72.40	10.10	2.14	7.30	0.50	79.20	27400.00	3960.18	10.95	1114.00
ITH2	88.00	7.80	2.14	7.60	2.70	74.90	22200.00	3113.98	46.02	1138.00
ITH3	279.50	13.00	2.14	4.20	3.50	72.90	21600.00	2203.01	283.75	9849.00
ITH4	157.80	12.80	2.14	5.70	1.60	73.40	21800.00	2388.26	202.50	1656.00
ITH5	200.60	7.30	2.14	5.00	4.20	74.80	23700.00	1904.86	353.77	7927.00
ITI1	160.60	10.70	2.14	5.60	3.70	73.70	21300.00	1567.96	372.44	5506.00
ITI2	103.30	8.60	2.14	3.20	4.50	69.90	20000.00	1797.01	325.24	1615.00
ITI3	158.30	11.60	2.14	4.00	5.40	72.00	20200.00	1738.11	288.31	3026.00
ITI4	337.20	21.40	2.14	8.20	7.70	66.50	20900.00	1381.49	470.42	10666.00
LT01	88.40	15.40	2.78	2.40	4.00	84.40	20800.00	3862.95	24.98	2151.00
LT02	37.50	23.10	2.78	3.90	6.80	76.60	15400.00	3756.82	18.32	3564.00
HU11	3277.90	6.80	6.90	8.10	4.80	84.90	22400.00	2478.49	209.82	4859.00
HU12	210.50	12.80	6.90	11.90	9.60	82.70	14600.00	2519.62	192.97	3329.00
HU21	99.10	8.80	6.90	5.40	5.50	83.40	13900.00	2591.57	121.79	2147.00
HU22	87.70	10.80	6.90	9.70	5.30	82.50	13200.00	2548.63	96.31	1839.00
HU23	62.50	16.70	6.90	6.60	12.30	75.40	11600.00	2394.36	141.21	1732.00
HU31	82.60	17.10	6.90	7.80	23.40	75.20	10300.00	2730.81	156.97	1673.00
HU32	80.90	20.40	6.90	7.80	13.20	76.50	10900.00	2606.59	198.90	2421.00
HU33	66.40	16.10	6.90	6.90	11.10	78.90	11900.00	2470.85	206.82	2044.00
PL21	220.90	13.60	7.74	6.20	2.90	74.00	15300.00	3248.41	24.82	13421.00
PL22	350.50	7.80	7.74	5.60	7.40	74.60	17500.00	3152.64	26.35	9035.00
PL41	116.90	14.40	7.74	6.50	5.00	78.80	16300.00	2974.57	73.71	10556.00
PL42	72.90	13.50	7.74	7.70	7.10	75.70	15700.00	3063.57	43.12	5206.00
PL51	142.50	9.00	7.74	5.40	7.50	76.90	16100.00	2977.59	41.24	7690.00
PL52	96.60	12.10	7.74	4.50	5.10	76.30	14900.00	2951.94	42.26	1951.00
PL61	110.90	17.70	7.74	6.10	5.20	76.80	14900.00	3174.36	56.26	4724.00
PL62	57.00	20.60	7.74	7.30	6.90	73.60	14700.00	3439.85	35.84	2873.00
PL63	129.80	13.70	7.74	6.50	8.80	79.10	15300.00	3312.33	36.51	7801.00
PL71	129.80	14.10	7.74	5.00	8.30	78.50	16300.00	3154.36	30.59	4086.00
PL72	97.80	14.80	7.74	4.80	4.60	75.80	14800.00	3283.50	35.05	2642.00
PL81	78.50	22.60	7.74	4.90	7.40	75.10	14500.00	3346.96	30.25	4045.00
PL82	111.00	17.40	7.74	2.80	4.40	68.70	13200.00	3159.24	33.19	3687.00
PL84	54.30	23.40	7.74	6.00	3.70	77.50	14600.00	3609.19	18.11	2464.00
PL91	542.70	6.70	7.74	4.50	5.10	85.50	21000.00	3178.08	53.55	9565.00
PL92	75.80	16.40	7.74	4.90	7.30	75.90	16800.00	3310.62	32.92	4400.00
PT11	171.70	20.00	1.77	3.90	5.90	76.00	14600.00	1408.65	226.47	14616.00
PT15	96.10	22.10	1.77	9.10	7.30	79.20	19500.00	531.49	213.52	3553.00
RO11	74.30	14.40	7.50	6.70	13.00	72.20	13100.00	2976.20	85.79	6350.00
RO12	67.00	23.80	7.50	11.60	12.90	67.60	12900.00	3241.14	31.61	4228.00
RO21	88.30	26.20	7.50	7.20	22.80	69.40	9800.00	3030.88	80.40	4576.00
RO22	70.00	28.40	7.50	9.20	28.30	63.40	10700.00	2420.97	252.18	3392.00
RO31	84.10	21.50	7.50	6.30	15.50	65.80	10600.00	2500.84	226.70	4372.00
RO32	1299.40	3.90	7.50	8.50	20.70	79.90	24900.00	2275.23	304.60	7478.00
RO41	65.10	34.70	7.50	12.70	20.30	61.80	10300.00	2447.22	205.95	2267.00
RO42	52.40	17.90	7.50	8.00	12.30	65.20	14200.00	2610.15	135.76	3363.00
SI03	89.70	13.20	2.36	4.10	8.60	76.00	17200.00	2632.98	71.86	1199.00
SI04	128.80	10.90	2.36	4.20	6.30	80.10	17600.00	2655.99	95.91	1809.00
SK01	359.20	7.70	1.99	3.00	4.10	84.50	20300.00	2606.23	105.98	3313.00
SK02	121.90	9.50	1.99	2.40	4.60	78.30	12700.00	2690.52	106.68	4234.00
SK03	80.80	13.50	1.99	2.50	10.70	76.70	13400.00	3245.40	41.79	5270.00
SK04	101.40	21.40	1.99	2.40	12.40	71.30	12000.00	3225.90	52.53	4018.00
FI1B	189.50	9.20	1.74	7.30	7.40	80.80	21400.00	4269.16	3.66	6702.00
FI1C	36.40	14.00	1.74	4.70	9.20	77.50	18000.00	4453.32	6.71	4201.00
FI1D	6.20	14.30	1.74	4.30	6.40	75.10	17000.00	5608.78	1.03	3080.00
SE11	372.10	12.70	2.42	10.80	6.20	85.00	23100.00	3762.43	3.52	8518.00
SE12	45.70	17.10	2.42	7.50	6.50	78.00	18600.00	3719.45	7.20	3768.00
SE21	26.60	16.20	2.42	6.70	6.80	83.70	18300.00	3558.22	4.00	2242.00
SE22	112.80	19.30	2.42	8.90	8.20	79.10	19100.00	3125.42	2.18	4067.00
SE23	71.60	15.50	2.42	9.70	5.50	83.50	19700.00	3435.60	3.28	5504.00
SE31	13.50	18.20	2.42	9.00	5.70	81.30	18200.00	4564.12	0.99	1962.00
SE32	5.30	17.20	2.42	7.60	5.40	83.40	18300.00	5318.84	0.00	999.00
SE33	3.50	15.30	2.42	9.50	3.90	81.40	18700.00	6015.31	0.07	1158.00
